a_b	a_c	b_d	c_d
Tom felt all alone.	Tom said he was all alone.	Tom was sitting all alone.	Tom sat all by himself.
Where did you stop?	Where did we leave off?	Where are we going next?	Where are we going again?
Ziri was a fireman.	Ziri became a firefighter.	Ziri became a park ranger.	Ziri became a zoologist.
I often wear a tie.	I like to wear ties.	I don't often wear a tie.	I rarely wear a tie.
Give Tom a biscuit.	Give Tom something to eat.	Tell Tom that dinner's ready.	Tell Tom dinner's ready.
Tom has a fake tan.	Tom has an orange tan.	Tom is wearing an orange sweater.	Tom likes the color orange.
He's back on drugs.	He's addicted to heroin.	He got hooked on drugs at a young age.	He is addicted to cocaine.
They know all that.	They know about that sort of stuff.	They know what's going on.	They know about such things.
My question is why.	All I want to know is why.	What I don't know is why.	I want to know why.
Let me explain why.	Tell me why you think that.	Tell me what your opinion is.	Please tell me your opinion.
Tom is sure to win.	Tom is bound to win.	Tom will be the winner.	Tom will be victorious.
I don't wear suits.	I never wear suits.	Sami never wears business suits.	Sami never goes to clubs.
I plan to be there.	I want you to know I plan to be there.	I'll definitely be there.	I'm going to be there.
The Jews are tired.	Palestinians are suffering.	The Palestinians are human beings.	Palestinians are human, you know.
Tom apparently won.	Of course, Tom won.	Tom won hands down.	Tom should have won, in my opinion.
Mary is a whiz kid.	Mary is a bright kid, isn't she?	Mary is a great kid, isn't she?	Mary is a smart kid, isn't she?
How old is Algeria?	Is Algeria's population aging?	What's Algeria's total population?	What's Algeria's total workforce?
I hope you're fine.	I hope that you're well.	I hope you get well.	I do hope that you get well soon.
I don't want a car.	I don't have the money to buy a car.	I cannot afford to buy a new car.	I can't afford a new car.
Ziri is damn funny.	Ziri has a delightful sense of humor.	Ziri is a great guy.	Ziri is a nice guy.
Silver is new gold.	Silver is much cheaper than gold.	We all know gold is heavier than silver.	Gold is heavier than iron.
I think he's happy.	I don't know if he's happy.	I'm sure that he's happy.	He says he's happy.
I rescued a kitten.	I adopted an orphan.	I was raised in an orphanage.	I was raised by my grandparents.
They won't help us.	We won't be able to help them.	We can't help them with that.	We can't stop them.
Tom was victorious.	Tom was the winner.	Tom came out on top.	Tom ended up winning.
I don't talk a lot.	We don't talk much.	We didn't talk long.	We never really got a chance to talk.
Tom takes vitamins.	Tom has to take his medication.	I've got to make sure Tom remembers to take his medicine.	Tom needs his medication.
Ziri ordered pizza.	Ziri ate some cheese pizza.	Ziri served the kids pizza.	Ziri bought pizza.
You are doing good.	You're doing very well.	You're doing that very well.	You've made an excellent job of that.
Do you hear voices?	I hear voices when I am alone.	I thought I heard voices in the next room.	I thought that I heard someone in the next room.
I know those girls.	Do you know those girls?	I know those three girls.	Do you know either of the girls?
What do women want?	What more could a woman want?	What more can you want?	What more could one ask for?
Stubborn as a mule.	Tom is as stubborn as a mule.	Tom is a very stubborn boy.	Tom is really stubborn.
Tom stole my watch.	Tom stole my wallet.	Tom stole some things of mine.	Tom stole some things from me.
I know those women.	Do you know those ladies?	Do you know those ladies who just got off the train?	Do they miss their mother?
My life's at stake.	Your life's in danger.	You're in danger, too.	I'm in danger, too.
There may be a way.	There's a way to do it.	I'll find a way to do it.	I'll think of a way to do it.
Why is Tom waiting?	Why is Tom waiting outside?	Who was Tom waiting for?	Who's Tom waiting for?
Tom was very naive.	Tom is a very naive person.	Tom seemed to be very naive.	Tom isn't as naive as a lot of people think he is.
Sorry, I zoned out.	Sorry, I was distracted.	Sorry to interrupt.	Sorry for interrupting.
Hey, what happened?	Hey. What's going on?	So what's going on?	All right, what's going on?
Tom wears contacts.	Tom is wearing glasses.	Tom doesn't wear glasses, but he used to.	Tom doesn't wear glasses anymore.
Rima looked so hot.	Rima is 100% sexy.	Rima is my girlfriend.	Rima is my only daughter.
I'll be right home.	I'll be home as soon as I can.	I'll be home in a little while.	I should be getting home soon.
This is not my cat.	This cat isn't ours.	That isn't a cat. It's a dog.	It isn't a cat. It's a dog.
It could get worse.	It couldn't get much worse.	How could things get any worse?	Things can't get much worse than this.
We make good money.	We're making money.	We're breaking even.	We're almost broke.
I have two cousins.	I don't know how many third cousins I have. I haven't counted.	She is my third cousin twice removed.	To tell the truth, she is my cousin.
Have you voted yet?	Have you decided who you're going to vote for?	Are you going to vote?	Who are you going to vote for?
Tom can still swim.	Even Tom can swim.	Tom can swim very well.	Tom is pretty good at swimming.
Tom can swim later.	Tom will be able to swim soon.	I heard that Tom wants to swim this afternoon.	Tom will probably go swimming again this afternoon.
Tom is a volunteer.	Tom does volunteer work.	Tom wants to help others.	Tom said that he likes to help others.
See for yourselves.	You should come see for yourselves.	Just see for yourself.	You can go see for yourself.
He evaded his duty.	He was blamed for neglect of duty.	His mistakes led to his eventual dismissal.	His failure was mainly due to carelessness.
He's compassionate.	He prides himself in being a pretty kind person.	He is not just kind, but honest too.	He is by nature a kind fellow.
I really like dogs.	Of course I like dogs.	Do you like animals?	I love all kinds of animals.
Let's stay friends.	Let's be friends forever.	Our friendship will last forever.	We will be best friends forever.
I brushed my teeth.	I brushed my hair.	I just brushed my teeth.	Have you ever brushed your hair?
Is that your truck?	Is this really your car?	This car looks like mine.	Is that car yours?
He’s all I've left.	I don't need him any longer.	We don't need you anymore.	I no longer need you.
Did Tom really win?	Is it true Tom didn't win?	Tom apparently didn't win.	Perhaps Tom didn't win.
I've spoken to Tom.	I've just talked to Tom.	I talked to Tom a little while ago.	I talked to Tom last week.
Is Tom still angry?	I wonder if Tom is still angry.	Do you think Tom is still angry?	I wonder if Tom is really angry.
I have the package.	Open up the package.	I opened the box and looked inside.	Pull the label off to open the box.
Tom is Mary's hero.	Tom is the man who helped Mary.	Tom is the one that Mary met the other day.	Tom is the guy Mary met the other day.
This is much worse.	That's much worse.	That's very different.	That's quite another thing.
Tom was drunk, too.	Tom was apparently drunk.	Tom seemed to be a little drunk.	Tom appeared to be drunk.
Ziri is a poor man.	Ziri doesn't have enough money.	Ziri is broke again.	Ziri was having some financial problems.
Tom put his hat on.	Tom tried on the hat.	Tom was wearing a strange-looking hat.	Tom wears a strange-looking hat.
Tom is a big bully.	Tom has been getting bullied.	Tom was bullied when he was a child.	Tom was bullied as a child.
Tom is a crazy kid.	Tom is a crazy person.	Tom is crazy, isn't he?	Tom is insane, isn't he?
Tom drives me nuts.	Tom drove me nuts.	Tom is driving me crazy.	Tom is driving me mad.
I live in the dorm.	My university has a dorm.	We all live in the same dorm.	All of us live in the same dormitory.
Tom likes redheads.	Tom has red hair and freckles.	Tom has wavy brown hair and blue eyes.	Tom has green eyes and brown hair.
Tom drives to work.	Tom drove to work this morning.	Tom went to work that morning.	Tom was there in the morning.
I've never met her.	I've never met her before.	I don't know her personally.	I am not acquainted with her.
I'm not being rude.	There's no need to be rude.	Please excuse me for being rude.	Please forgive me. I didn't mean to be rude.
They broke my soul.	They've hurt me a lot.	What have they done to you?	I can't deal with them.
You wanted me, sir?	You wanted to see me.	I just wanted to see you.	I just wanted to see you again.
Tom has fast hands.	Tom is good with his hands.	Tom is very skillful.	Tom is really good with his hands.
Tom came on Monday.	Tom got here on Monday.	Tom started working here last Monday.	Tom has just started working here.
The server is down.	The server goes down from time to time.	Our server will be offline on October 20th for scheduled maintenance.	Our store will reopen on October 20th.
He's looking at us.	I think he's looking at me.	I think he just looked at me.	I think he was looking at you.
Where's the waiter?	Here comes the waiter.	Waiter, please give me a cup of tea.	Waiter, I'd like to order.
She had been fired.	She was made redundant.	She decided to resign her job.	She had to resign from her job.
Tom drank too much.	Tom drank too much beer.	Tom drank too much, didn't he?	Tom drinks too much beer.
It's kind of small.	It isn't small but big.	It's a little bigger than I thought it'd be.	It was larger than I had anticipated.
He kissed her neck.	He kissed her forehead.	He kissed her hand.	He kissed her hands.
My ends are broken.	Please join the two ends of the tape together.	Cut the paper into two halves.	I stuck two sheets of paper together with paste.
Take it to the top.	The only way is up.	This is the only way in.	There seems to be only one way out of here.
Is this food halal?	Is the food at the restaurant halal?	He went to a halal restaurant.	He eats halal food.
Who left the TV on?	Who turned the lights off?	Somebody left the lights on.	Who turned on the lights?
He changed his job.	He changed jobs to earn more money.	He became a billionaire.	He acquired a large fortune.
Tom works under me.	Tom and I work together.	Tom and I work really well together.	Tom and I sometimes work together.
Everyone has voted.	Everyone voted for it.	Everyone knew about it.	Everyone talked about it.
What is your field?	What's your area of specialization?	What kind of training do you have?	What's your area of expertise?
I like to exercise.	I take exercise for health.	I exercise whenever I can.	Regular exercise is beneficial to good health.
This was difficult.	It was more difficult than I thought.	It was pretty difficult.	It was more difficult than I thought it'd be.
It seems difficult.	It's more difficult than I thought.	It's harder than it seems.	It's more difficult than what you think.
It isn't difficult.	It's not very difficult.	It's actually not that difficult.	It's not that hard.
Have some hormones.	Maybe you control it.	Your brain needs stimulation.	Our brains need stimulation.
Did you drive here?	I didn't drive here.	I didn't buy the car.	You don't have a car.
Tom may come today.	Tom should come today.	Perhaps Tom will come tomorrow.	Tom might come tomorrow afternoon.
Your breath stinks.	You have foul breath.	You seem to have an asthma.	You seem to be having trouble breathing.
I like wearing red.	I prefer black- and red-colored clothes.	What type of clothes do you like to wear?	What kind of clothes do you like to wear?
He went unpunished.	The murderer got away with his crime.	The murder scene was undisturbed.	The murder weapon wasn't found.
I'm quite confused.	I'm totally confused.	I'm kind of confused myself.	I'm still a little confused.
I like working out.	I like to keep fit.	I lead an active lifestyle.	I walk at least three kilometers a day.
Tom has gone crazy.	Tom has gone completely mad.	Tom has started losing his mind.	Tom has lost his mind.
I need a chauffeur.	I'm the chauffeur.	We're limo drivers.	We're truck drivers.
What do we owe Tom?	Let's find out how much we owe Tom.	How much money do you owe Tom?	I want to know how much you owe Tom.
Tom has bad breath.	Tom smells horrible.	Doesn't Tom smell anything?	Tom is probably going to be annoyed by the smell.
He served as mayor.	He was re-elected mayor.	It is not surprising that he was elected mayor.	They elected him mayor by a large majority.
Did you murder Tom?	Did you want to kill Tom?	Why did you kill Tom?	Why would anyone kill Tom?
He smells the soup.	He was smelling the food.	He looked like he was hungry.	He admitted he was hungry.
Tom is a hypocrite.	Tom is very hypocritical.	Tom is being disingenuous.	Tom is fooling himself.
Rima had nice legs.	Rima has a pretty little ass.	Rima is an exotic beauty.	Rima is beautiful.
I like those shoes.	I like your shoes.	Those shoes are mine.	These are my shoes and those are yours.
Tom was thoughtful.	Tom is a very thoughtful person.	Tom is a very special person.	Tom is a truly amazing person.
Here is the laptop.	Hand me that laptop.	This laptop belongs to me.	Can you bring me my laptop?
Things got awkward.	It was an awkward moment.	It was an embarrassing moment.	It was a little embarrassing.
Mennad is a robber.	Mennad committed a crime.	Mennad was attacked and robbed.	Mennad got into trouble.
Why is Tom in jail?	Why has Tom been arrested?	Why should Tom be in trouble?	Tom got into trouble.
This won't be hard.	This won't be easy.	It won't be that easy.	It's not going to be easy.
That won't be hard.	It won't take Tom very long to do that.	I don't think Tom knows how much time it'll take for him to do that.	I don't think Tom realizes how long it'll take to do that.
That was very hard.	That was very difficult.	Doing that was quite hard.	Doing that was very difficult.
That makes it hard.	That makes things more difficult.	That'll complicate matters more.	You complicate things.
Life is still hard.	Life is hard for everybody.	Life is not meant to be easy.	I don't think my life is easy.
Do you accept tips?	Did you leave a tip?	How much should I tip?	Don't forget to leave a tip.
Tom is a bit tipsy.	Tom seems to be a little tipsy.	Tom was a bit tipsy.	Tom got very tipsy.
Ziri harassed Rima.	Ziri assaulted Rima.	Ziri tried to kill Rima.	Ziri brutally murdered Rima.
It's not very hard.	It's not very difficult.	It's actually not that difficult.	It's not particularly difficult.
Tom tore his pants.	Tom crapped his pants.	Tom forgot to flush the toilet.	Tom had to change the toilet bowl.
It was pretty hard.	It was extremely hard.	It was extremely grueling.	The assignment was very difficult, requiring hours of tedious work.
It was hard to fix.	It was very difficult.	It was quite difficult to do.	It was pretty difficult.
They read her book.	She read that book before.	Emily read this book.	Tom has already read that book.
It isn't that hard.	It's really not that hard.	It really wasn't that hard.	It wasn't really very difficult.
I miss hugging you.	I missed your sweet kisses.	I've missed you, too.	I really missed you.
We want a solution.	We must find a solution.	We're searching for a solution to the problem.	We have to find a solution.
Tom made ice cream.	Tom loves ice cream.	Tom wanted to eat some ice cream.	Tom wants to eat some ice cream.
Tom has a headache.	Tom suffers from headaches.	Tom has a migraine headache.	For years, Tom suffered from migraine headaches.
She wasn't at home.	She isn't at home now.	She said she was at home yesterday.	She told me she was at home.
We arrived on time.	They arrived on time.	Tom arrived on time.	Tom arrived safely.
Tom got out of bed.	Tom leapt out of bed.	Tom jumped up from his chair.	Tom jumped out of his seat.
Tom got on the bus.	Tom bought a bus ticket.	Tom said he'd come here by bus.	If Tom didn't come here by bus, how did he get here?
Tom is very unkind.	Tom is extremely mean.	Tom is one of the meanest guys I've ever met.	Tom is a mean person.
You play the piano.	I actually play the piano pretty well.	I can't play piano all that well.	I actually play piano fairly well.
I often drink beer.	Do you drink a lot of beer?	I don't drink that much beer.	Do you usually drink a lot of beer?
Tom was unpleasant.	Tom wasn't pleased.	Tom wasn't quite happy.	Tom didn't appear to be too happy.
Tom was unreliable.	Tom turned out to be a very unreliable person.	I knew Tom wasn't very reliable.	I knew that Tom wasn't a very reasonable guy.
I often drink wine.	I drink wine on weekends.	I'm also drinking wine.	You're drinking wine.
Tom was unsociable.	Tom seemed unfriendly.	Tom seemed pretty unfriendly to me.	Tom didn't seem very friendly to me.
Hey Tom, what's up?	Hello Tom! How are you?	How've you been, Tom?	How are you doing, Tom?
She is Alan's wife.	She's his daughter from his first marriage.	He's a distant relative of hers.	She is related to him.
Ziri repeated that.	Ziri continued to speak.	Ziri is still talking.	Ziri kept talking.
Tom didn't turn up.	Tom didn't come in.	Tom wasn't present.	Tom wasn't with us.
My mind is made up.	I have made up my mind now.	My mind is quite made up.	I've finally made up my mind.
I like this slogan.	What a strange slogan!	The company has a catchy slogan.	The company is trying to improve its image.
Tom was also drunk.	Tom was apparently drunk.	Tom seemed to be a little drunk.	Tom appeared to be drunk.
I often tell jokes.	I used to love telling jokes.	I used to be good at this.	We used to be good at this.
He's out of school.	He doesn't go to school anymore.	He's going back to school.	They're going back to school.
I don't study much.	I don't study as much as I used to.	I didn't feel much like studying.	I didn't spend as much time studying as I should've.
Show me an example.	Please give me an example.	Please give an example of usage.	Please give an example.
The singer was Tom.	Tom sang one of the songs he wrote.	Tom sang a lot of old songs.	I didn't know Tom did things like that.
Tom got ripped off.	Why did Tom rip us off?	Tom thinks that he's getting ripped off.	Tom is making money off us.
That guy annoys me.	He really irritates me.	His way of talking gets on my nerves.	I do not like the way he talks.
Yanni sounds weird.	Yanni's name is complicated and hard to pronounce.	Yanni has a strange voice.	Yanni can't even spell his name correctly.
Tom was unfaithful.	To be honest with you, Tom is an unfaithful husband.	Tom has committed adultery more than once in his life.	Tom is a married man, isn't he?
Esther is Estonian.	Esther is a Jewish American.	Esther's family are Yemenite Jews.	Esther's family is Orthodox Jewish.
You're hard-headed!	You're a stubborn person.	You're the stubborn one here.	I'm not as stubborn as you think.
It's just a saying.	That's my favorite saying.	What's your favorite proverb?	What's your favorite quote?
Our car broke down.	Our car broke down on our way there.	My car broke down.	I had to walk there because my car broke down.
Say hi to everyone.	Say hi to your family!	My family is here with me.	Your family is here.
You've learnt fast.	I learned quickly.	I learned quite a bit.	I learned a lot from what I heard.
Ziri is finally up.	Thank God Ziri is finally here.	Ziri will be here.	Ziri will be there.
He never felt good.	He never recovered from his death.	Sami never regained consciousness.	Tom never regained consciousness.
How old is Kabylia?	She's a fourteen-year-old from Kabylie.	She's my childhood friend.	She went to high school with me.
Tom is very touchy.	Tom is touchy, isn't he?	Tom is a sensitive boy.	Tom is a highly sensitive person.
That tree's so big!	That's a very tall tree.	I think this is the tallest tree that I've ever seen.	That's the tallest tree I've ever seen.
We should heed him.	I think we should follow him.	I think it better for us to adopt his plan.	We should adopt his proposal.
I must do it again.	We have to do this again.	We must do this again soon.	We've got to do that again.
I need to be there.	We have to be there.	Of course, we'll be there.	We're not the only ones who'll be there.
Tom can't catch us.	Tom won't catch you.	Tom won't follow you.	Tom won't be going anywhere with you.
Tom can't be alone.	I don't think that Tom is alone.	I wonder if Tom is really alone.	I wonder whether Tom is alone.
Tom can't be alive.	I don't think Tom is still alive.	I don't know if Tom is dead or alive.	I don't think that Tom is still alive.
That part was true.	Part of what Tom said was true.	How much of what Tom said was true?	Was everything Tom said true?
Sami felt the loss.	Sami felt terrible.	Sami was so devastated.	Sami was devastated.
Tom isn't unbiased.	Tom won't likely be unbiased.	I think that Tom is unbiased.	Tom is likely to be unbiased.
Tom is very unfair.	I think Tom is unfair.	Tom is being unfair, isn't he?	Tom is being unfair.
Tom was unfriendly.	Tom is very unfriendly.	Tom seems unfriendly.	I think Tom is unfriendly.
Tom is behind bars.	Tom has spent some time in jail.	Tom has been in jail many times.	Tom has spent time in prison.
I don't always win.	I almost always win.	I think that I can win.	I can probably win.
Tom is the foreman.	It's Tom who's the boss.	Tom is the person who's in charge.	It's Tom who's the boss here.
You don't remember?	What do you mean, you don't remember?	Are you sure you don't remember anything?	I don't remember anything.
The ice is melting.	The icecaps are melting.	The snow is melting away.	The snow has begun melting.
The ice has melted.	The ice sheets are melting.	The temperature is warming. The snow is melting.	Antarctica is melting at an astonishing pace.
He fought two boys.	He fought four boys in that high school.	He fought the brothers.	He quarrelled with his brother.
It's a big concern.	It's a matter of concern.	I do have concerns.	Of course, I'm concerned.
It's a bad problem.	It's a problem, but not a serious one.	It could be a serious problem.	This could be serious.
Here is the tablet.	This tablet is very expensive.	This cellphone really costs a lot.	This mobile phone is really expensive.
It wasn't possible.	It would have been impossible to do that.	It would have been possible to do that.	It would've been impossible to do that.
It was really cool.	It was a really cool experience.	It was a beautiful experience.	It was an incredible experience.
It wasn't my fault.	This wasn't your fault.	That was not my fault.	That is not my fault.
It was pretty huge.	It wasn't that big.	That was pretty big.	This isn't very big.
It made me chuckle.	That made me laugh.	You're making me laugh.	That makes me want to laugh.
He's not a fighter.	Sami isn't a fighter.	Sami liked to fight.	Sami was fighting.
Get back, get back!	Please take me back.	Please take me home.	Just take me home.
I'll be in the car.	I'm in the car now.	Let me get into the car first.	I got into the car.
Tom froze in place.	Tom froze like a deer in headlights.	Tom looked stunned.	Tom seemed stunned.
It was pitch-black.	It was pitch black outside.	It was eight and it was already pitch black outside.	It was really dark out.
He's an active boy.	He's very active for his age.	He is an active person.	He leads an active life.
Who did this first?	I want to know who started this.	I want to know who did this.	I'd like to know who did this.
Would you like ice?	Do you want some ice cubes?	I want some shaved ice!	I want some more ice cream.
It made me nervous.	It makes me nervous.	It scares the shit out of me.	It's kind of scary.
Tom is lying to us.	Tom has been lying to you.	Tom is probably lying to you.	It's possible that Tom lied to you.
He didn't say that.	I'm sure he didn't say that.	I don't remember him saying that.	He does not remember having said that.
He fought two guys.	Who else was involved in the fight?	Who was that fighting with Tom?	Who was that arguing with Tom?
Tom keeps chickens.	Tom has a chicken farm.	Tom used to be a farmer.	Tom used to live on a farm.
I want you to sing.	I want to hear you sing.	Do you want me to sing?	Would you like to hear me sing a song?
This one's a cinch.	It's a dead cinch.	I'm sure it'll be easy.	I'm sure that it won't be difficult to do that.
It's happening now.	Is it happening right now?	It's going to happen today.	It's going to happen tonight.
Does she know this?	She probably knows.	She knows about that sort of stuff.	She knows about such things.
Good morning, Mama.	Good morning, darling.	Good morning, ladies.	Good morning, handsome.
Unleash the hounds.	Free the animals from the cage.	If I could, I would let every caged bird fly free.	No bird likes to be caged.
They lent it to me.	You loaned it to me.	It belonged to my mother.	It belongs to my father.
They are not lying.	Are you sure they are not lying?	They told me they'd lied.	They said that they thought I was lying.
Tom ate fried rice.	Tom bought some rice.	Tom eats rice at least once a day.	Tom doesn't eat rice every day.
It's gotten easier.	It's become very easy.	It was rather easy for them.	It was easy to obtain.
They weren't lying.	They were lying the whole time.	I was lying the whole time.	She was lying the whole time.
It's good to dream.	Don't be afraid to dream.	It's nice to dream.	Dreams sometimes do come true.
This is artificial.	This doesn't seem real.	I'm not sure that it's real.	I don't think this is real.
You were not lying.	You are not lying.	I'm not going to lie.	I don't want to lie.
Money begets money.	They say money is the root of all evil.	Greed is not always good.	Greed is a destructive force.
My phone is broken.	My phone's stopped working.	My old phone doesn't work anymore.	The phone company cut me off last month.
It's easy for them.	People think that it's easy.	It's really not as hard to do as you think it is.	It's not as hard as you think.
It's a great story.	It is really quite a good story.	It was a fascinating story.	It was a fascinating story, and he told it well.
It's a big country.	The United States is a large country.	Canada and Russia are large countries.	America is very large.
Tom is teaching me.	Tom wants to learn.	Tom needs to learn a few basics.	Clearly, Tom has a lot to learn.
My bags are packed.	Let me get your bags.	Please give my bag to me.	Please hand me that bag.
It's just a rabbit.	That's not our pet rabbit, unless I'm mistaken.	There are a lot of rabbits around here.	I saw several rabbits on the way home.
I have just spoken.	I spoke when I wanted.	I said everything I wanted to.	I said everything I knew.
They're dead to me.	They are dead and buried.	They are dead to me.	They were murdered.
Tom did that alone.	Tom did that on his own.	Tom didn't do that by himself.	Tom didn't do this by himself.
Tom has a roommate.	Tom has three roommates.	Tom shares an apartment with a friend.	Tom's apartment has three bedrooms.
I want some papers.	Can you pass me some paper?	Will you look over these papers?	Will you glance through this report?
Let's change seats.	Let me exchange seats with you.	Why don't we switch seats?	Do you want to switch seats?
Tom should do that.	Tom should definitely do that.	Tom should do that if he wants to.	If Tom wants to, he may do that.
He entered my room.	I saw him enter the room.	Before long he came into the room.	He came into the room.
Let's switch seats.	I'd like to change seats with you.	Would you like to take a seat?	Could you please take a seat?
I love Korean food.	Do you like Korean food?	I love Korean food because of the hot spices.	Do you like Indonesian cuisine?
He dropped his gun.	He dropped his wallet.	He realized that he had lost his wallet.	He lost his wallet.
The food is edible.	The food looks tasty.	This food has a really nice taste.	This food is delicious.
This is my protege.	No, this is not my car.	None of these cars are mine.	This car is not mine.
His wallet is gone.	His money was all gone.	He lost his entire savings.	He lost the whole of his money.
Here is your lunch.	It's time for lunch.	It's nearly lunchtime.	It isn't lunchtime yet.
Can you see anyone?	Can you see anyone else?	Did you see anybody else?	Did anybody else see you?
Who broke the dish?	Who broke the mug?	Who's the scally who broke the window?	Who do you think broke the window?
Can't you see that?	Can't you see what's happening?	Don't you see what's happening here?	Do you see what's happening?
Ziri left his home.	Ziri left the country.	Ziri suddenly left.	Ziri split from the group.
You can use my pen.	I need to get a pen.	You may use my pen.	I'll go find a pen.
Do you see anybody?	Can you see anyone?	No, I do not see anyone.	I can't see anybody.
He has to move out.	You've got to move out.	Sometimes moving out is the best choice.	Get your own place.
Do you speak Latin?	Is anybody fluent in Latin?	Do you know anybody who studies French?	Is anyone here interested in studying French?
I'm not quite sure.	Actually, I'm not quite sure.	Actually, I do not really know.	The answer is that I don't really know.
The tomato is ripe.	The tomato is a vegetable, not a fruit.	You say tomato, I say tomato.	Strictly speaking, tomatoes are a fruit.
Can we do that now?	Can we do that later?	Can we do that right away?	We can do it later.
Tom says he's fine.	Tom told me that he's fine.	Tom told me that he's well.	Tom said that he's well.
I'm Czech, and you?	I'm a Bulgarian, and you?	Are you Ukrainian?	Is that Ukrainian?
Aren't you pleased?	You're happy, aren't you?	Aren't you happy now?	You were happy, weren't you?
We're limo drivers.	We're ambulance drivers.	Every time someone gets hurt we call an ambulance.	We must phone for an ambulance.
Girls fart quietly.	The girls whispered among themselves.	The boys talked about girls.	The boys whispered among themselves.
He was walking out.	He walked out of the room.	He said goodbye to him and left.	She said good-bye to him and left the house.
Don't make a noise.	Don't make noise. Keep quiet.	Don't be noisy on such an occasion.	Be quiet and behave!
Tom was kind to me.	Tom was really nice to me.	Tom has been very nice to me.	Tom has been so nice to me.
He fled to Algeria.	He moved to Algeria.	He decided to go to Algeria.	He headed to Algeria.
He's a chickenshit.	He's stupid and irrational.	He is lacking in common sense.	He doesn't have any common sense.
You are dead to me.	You are dead. Not a big surprise.	I think I might be dead.	I think I had a heart attack.
Isn't it Tom's dog?	This dog is Tom's.	This is the dog that Tom said he wanted.	Tom wants this dog.
How do you stop it?	How can this be stopped?	There's nothing you can do to stop it.	There's nothing you can do about it.
How nice of Noriko.	Yanni is just being kind.	Yanni seemed generally a kind guy.	Yanni was a nice person.
Don't feed the dog!	Please feed the dog.	Don't feed this dog.	We need to feed the dog.
Tom listened to me.	Tom talked and I listened.	I came to talk with Tom.	Tom came to talk to us.
Tom is a true hero.	In my opinion, Tom is a hero.	Tom is the real hero.	I think that Tom is a hero.
I bought a new hat.	I picked out a new hat at the store.	I walked into the store and took off my hat and gloves.	I went to the department store to do some shopping yesterday.
Grandma spoiled me.	My grandma loved me a lot.	She always cared about my health.	She helped me in every way.
Mary's cat is cute.	Mary is a little cutie.	Mary is a very pretty girl.	Mary is an exceptionally beautiful girl.
He attended school.	Ultimately, he ended up going to school.	He left school when he was in high school.	He dropped out of university in his first year.
He's on his way up.	He's on his way here.	He is already here.	He will be here any minute.
Let's let Tom rest.	I think we should let Tom rest a bit.	Tom just needs a little rest.	Tom could use some rest.
We have three boys.	I have three sons.	I have a son and three daughters.	I have three adult children.
Tom seemed bashful.	Tom didn't seem to be very friendly.	Tom wasn't friendly to me.	Tom wasn't nice to me.
You were listening.	I listened intently.	Tom listened to me attentively.	Tom was listening intently.
Tom studied abroad.	Tom wanted to study abroad.	Tom wants to go abroad next year.	Tom said that he wanted to study abroad.
Who was the winner?	Who won the competition?	Who won and who lost?	There is some confusion as to who won.
It's what I wanted.	That's just what I wanted.	This is what I wanted.	That was just what I wanted.
What a predicament.	It's a tough situation.	That's a very tough deal.	It really is a difficult situation.
It's way too small.	I think it's too big.	I think it's too small for you.	I think that it's too big.
That is just a lie.	You know that's a lie.	That would be a lie.	That might be a lie.
Tom is a great man.	Tom is an amazing man.	Tom is a wonderful fellow.	Tom is a truly amazing person.
He is often abroad.	He often travels to foreign countries.	He loves traveling.	He has a great fancy for travelling.
We won't be silent.	I won't stay silent.	You'd better stay quiet.	I'd better stay quiet.
He can't buy a car.	He is unable to buy a car.	He is not able to drive a car.	He is unable to start his own family.
You look contented.	You look satisfied.	You seem to be pleased with yourself.	You look very pleased.
Ziri was satisfied.	Ziri was feeling good.	Ziri is having a good time.	Ziri was just having fun.
What's coronavirus?	The coronavirus is dangerous.	Many people have anxiety and fear about the coronavirus.	Coronavirus is dangerous to old and sick people.
Do what you can do!	You should do what you can.	You will do all that you can.	I will do the best I can.
He was too curious.	He said that he was curious.	He said that he was very intrigued.	He said that he's curious.
Tom traveled alone.	Tom went there alone.	Tom was traveling alone.	Tom went there by himself.
Knowledge feeds me.	Knowledge is power.	The current world is a world of knowledge.	Knowledge is power, but it is power for evil just as much as for good.
Who invented paper?	When was printing invented?	She plugged in a printer.	In what year was printing invented?
How old is the dog?	How old that dog is!	How old is that boy?	How old do you think he is?
Jacob is a leftist.	Jacob is a secular Jew.	He lives in a Jewish neighborhood.	He's a Sephardic Jew.
He kept me waiting.	He kept us waiting for a long time.	He kept me waiting for more than an hour.	He kept me waiting for an hour.
Tom was aggressive.	Tom got very aggressive.	Tom went ballistic.	Tom burst into a rage.
The bus was packed.	The bus was awfully crowded.	There were a lot of people waiting for the bus.	It was very crowded on the bus.
Tom is a carjacker.	Tom's car has been stolen.	Tom tried to steal a car.	Someone stole Tom's car.
Layla isn't so bad.	Layla is a fucking bitch.	Layla is up to no good.	Layla was being a bitch to me.
Today isn't Monday.	This isn't Monday, is it?	This isn't something that you do every Monday, is it?	You do that every Monday, don't you?
We have a platypus.	It surprised me that platypus lay eggs.	Everything that lives comes from an egg.	The egg is a universal symbol of life and rebirth.
This is Idlib city.	This is my city now.	I plan to live in this city.	I will live in the city.
Those aren't tacos.	Quesadillas are tortillas with cheese in them.	Tapas are Spanish appetizers.	What Spanish food is there apart from paella?
Of course, Tom won.	I think that Tom won.	I thought Tom didn't win.	I thought that Tom might win.
